FREQ,AMP (V)
100,0.0427947
143.844988828766,0.0244541
206.913808111479,0.0244541
297.635144163132,0.0183406
428.133239871939,0.0183406
615.848211066026,0.0183406
885.866790410082,0.0183406
1274.27498570313,0.0244541
1832.98071083244,0.0366812
2636.65089873036,0.0366812
3792.69019073225,0.0427947
5455.59478116852,0.0458515
7847.59970351461,0.0427947
11288.3789168469,0.10393
16237.7673918872,0.20786
23357.2146909012,0.0855894
33598.1828628378,0.0427947
48329.3023857175,0.0427947
69519.2796177561,0.0427947
100000,0.0427947
